site_id,northing,easting,dataset,quality
80,206534.775,452698.6871,agi,0.8178620555253562
81,206550.85,454041.7519,agi,0.6739788760965348
82,205969.975,455341.1775,agi,0.4985388149115895
83,206060.795,454688.7877,agi,0.3381350101716142
84,206133.98,454922.2631,agi,0.4865893930293973
85,206163.06,455198.3541,agi,0.4951099932160482
86,206164.44,454730.5055,agi,0.7377637070028384
87,206168.985,455034.8104,agi,0.6825344828131279
88,206464.2245,455006.5178,agi,0.832327646
89,206698.255,454427.344,agi,0.5833289550971696
90,206854.395,455455.3336,agi,0.37175654756298104
91,206865.575,456214.7114,agi,0.7279468723337971
92,206390.625,450028.2446,agi,0.7564710291701385
93,206473.99,451256.669,agi,0.6367663185416979
94,206914.17,450713.4691,agi,0.7625803079727367
95,206994.415,451133.8764,agi,0.5962773578186344
96,207145.2996,449977.3094,agi,0.6136396976291965
97,207176.3,450505.3837,agi,0.5565246110151298
98,207307.998,450336.1315,agi,0.3152514760464571
99,207422.1253,450331.1573,agi,0.36473485619598267
100,207553.95,450889.5039,agi,0.31885751141204055
101,207830.6,450423.2852,agi,0.6818462467582682
102,202377.385,455078.2379,agi,0.488613589
103,202420.445,455800.0332,agi,0.6051424146988217
104,202636.17,454700.0468,agi,0.844539884
105,202649.2,455150.4129,agi,0.449575337
106,202786.795,455292.2528,agi,0.5462297538213778
107,202823.115,456082.9513,agi,0.7533306831258293
108,202834.925,455316.2189,agi,0.4372788992949735
109,202829.65,455761.5771,agi,0.3461879458972758
110,202934.05,455545.0766,agi,0.4738508717482608
111,202939.38,455886.0121,agi,0.3967327723524027
112,204686.285,454956.8031,agi,0.8578185914055438
113,204735.76,454700.4736,agi,0.7848722277386502
114,204768.935,455226.9208,agi,0.6800422539062541
115,204901.65,455232.3446,agi,0.8228763541126307
116,205218.705,455182.7733,agi,0.7822032461394688
117,205247.135,455038.3756,agi,0.4119420353316215
118,205155.2038,455736.4691,agi,0.8355353990939867
119,205573.77,455586.0425,agi,0.6236053451493905
120,205871.3641,454762.65,agi,0.7844640930984376
121,206875.235,455346.7642,agi,0.8376547799540961
122,206933.565,455176.5359,agi,0.49080208498311834
123,206960.86,455344.0708,agi,0.3660311547166061
124,207121.1265,455179.7588,agi,0.436761098
125,207184.53,455713.3138,agi,0.5562646731757538
126,207228.275,456134.4377,agi,0.7908088595534959
127,207342.29,455908.4792,agi,0.8164383499538062
128,207372.09,454744.9275,agi,0.30417127831871443
129,207476.41,455166.3378,agi,0.6064483815465395
130,207541.04,456063.2654,agi,0.5504466018892674
131,207566.025,455634.1186,agi,0.4332646862824382
132,207621.21,456600.056,agi,0.3719192204002097
133,207632.54,454471.4197,agi,0.5025691028421768
134,207854.96,455228.6557,agi,0.8657458223475116
135,208079.275,455366.8159,agi,0.4939217592124532
136,208206.595,454816.7705,agi,0.6112743730460197
137,208221.81,454865.0571,agi,0.7218113753371067
138,206622.1,452044.7415,agi,0.5181777614275764
139,207272.085,452933.5675,agi,0.8830692496325765
140,207343.65,451559.5676,agi,0.8774683769652669
141,207528.88,453714.2452,agi,0.45106937749521847
142,207715.725,452623.0557,agi,0.5983491035354314
143,207831.6,453964.1884,agi,0.4805269858900618
144,207987.6,454068.643,agi,0.4709042966264806
145,208138.67,453583.1689,agi,0.3221321684127197
146,208222.325,454075.2367,agi,0.6657386003879382
147,208387.225,452744.3924,agi,0.6016074139373169
148,208161.75,451204.6274,agi,0.3308872507499936
149,208407.965,450233.1375,agi,0.46718787854196686
150,208483.875,450382.4621,agi,0.8449595315799923
151,208505.1458,449382.0412,agi,0.4437371344001835
152,208962.58,451129.0192,agi,0.38693692325473383
153,209169.05,450510.4946,agi,0.5936716561665378
154,209258.78,450839.8747,agi,0.8913902724663605
155,209667.5026,448869.4817,agi,0.4452331629069003
156,209711.8249,449074.6036,agi,0.7032813284435272
157,209737.1227,449491.7135,agi,0.7569717691972306
158,209834.0498,448503.7901,agi,0.4425825263954398
159,209993.75,448764.8293,agi,0.7369298091671158
160,208439.195,453017.8973,agi,0.52066988
161,208483.11,454134.0769,agi,0.6793834983561478
162,208710.505,452679.9745,agi,0.6801178264565368
163,208773.875,453000.88,agi,0.6214648104448551
164,208881.38,452712.293,agi,0.354173862
165,208996.6,452446.7855,agi,0.8011814973535429
166,209855.475,449677.4507,agi,0.4924680389830415
167,209968.7994,449342.4935,agi,0.41191110623991256
168,209997.09,451326.5836,agi,0.32446508493285836
169,210356.56,451010.9766,agi,0.6545357659129452
170,210437.63,450943.0355,agi,0.7065386171053695
171,210570.25,450128.7496,agi,0.30995269735671366
172,202053.275,455574.1659,agi,0.6072558349795687
173,202073.415,455316.0769,agi,0.4358974651187628
174,202233.58,455938.813,agi,0.687103674
