site_id,northing,easting,dataset
196,204476.375,455347.1775,agi
197,203896.2,453735.7048,agi
198,203933.4,454038.0496,agi
199,204055.115,451857.9025,agi
200,204134.595,454232.229,agi
201,204300.485,452087.3581,agi
202,204455.67,452808.4479,agi
203,204468.265,453563.5435,agi
204,204535.51,452216.1579,agi
205,204562.425,453145.6513,agi
206,204872.605,454164.175,agi
207,204870.375,451393.819,agi
208,205145.465,451156.1173,agi
209,205237.035,451069.1415,agi
210,205622.85,451077.8711,agi
211,205858.15,451449.0905,agi
212,204910.1,453532.6809,agi
213,204920.075,453921.8366,agi
214,205162.385,452424.3949,agi
215,205261.065,453650.6137,agi
216,205281.79,452550.4423,agi
217,205404.005,452411.1106,agi
218,205426.4,453144.1662,agi
219,205466.475,453469.2167,agi
220,205581.365,453102.587,agi
221,205600.81,452568.5779,agi
222,205896.69,450507.715,agi
223,205957.7,449836.7478,agi
224,205981.29,451496.234,agi
225,205970.045,449622.4824,agi
226,206012.855,451204.4787,agi
227,206032.345,451168.4749,agi
228,206148.71,450604.0548,agi
229,206194.3,450164.8225,agi
230,205641.75,453038.5122,agi
231,205853.5,452037.3436,agi
232,206084.945,452035.2853,agi
233,206148.725,453226.2269,agi
234,206211.725,452497.9426,agi
235,206320.425,452734.4513,agi
236,206449.18,453015.655,agi
237,206530.485,454090.0491,agi
238,206534.775,452698.6871,agi
239,206550.85,454041.7519,agi
240,205969.975,455341.1775,agi
241,206060.795,454688.7877,agi
242,206133.98,454922.2631,agi
243,206163.06,455198.3541,agi
244,206164.44,454730.5055,agi
245,206168.985,455034.8104,agi
246,206464.2245,455006.5178,agi
247,206698.255,454427.344,agi
248,206854.395,455455.3336,agi
249,206865.575,456214.7114,agi
250,206390.625,450028.2446,agi
251,206473.99,451256.669,agi
252,206914.17,450713.4691,agi
253,206994.415,451133.8764,agi
254,207145.2996,449977.3094,agi
255,207176.3,450505.3837,agi
256,207307.998,450336.1315,agi
257,207422.1253,450331.1573,agi
258,207553.95,450889.5039,agi
259,207830.6,450423.2852,agi
260,202377.385,455078.2379,agi
261,202420.445,455800.0332,agi
262,202636.17,454700.0468,agi
263,202649.2,455150.4129,agi
264,202786.795,455292.2528,agi
265,202823.115,456082.9513,agi
266,202834.925,455316.2189,agi
267,202829.65,455761.5771,agi
268,202934.05,455545.0766,agi
269,202939.38,455886.0121,agi
270,204686.285,454956.8031,agi
271,204735.76,454700.4736,agi
272,204768.935,455226.9208,agi
