,access_pt_id,site_id,has_agi,has_sac,has_sssi,is_protected,designation_count,snap_distance_m,easting,northing,geometry
99,ap_0045927,808,True,False,False,False,1,0.0,439296.0900999997,217067.80230000056,POINT (439296.0900999997 217067.80230000056)
100,ap_0045928,805,True,False,True,True,2,0.15429425656713028,439255.22670000046,216489.6754999999,POINT (439255.22670000046 216489.6754999999)
101,ap_0045929,805,True,False,True,True,2,0.07102475546092216,439275.59279999975,216484.6057999991,POINT (439275.59279999975 216484.6057999991)
102,ap_0045930,759,True,False,False,False,1,0.0,438855.4243000001,216270.9447000008,POINT (438855.4243000001 216270.9447000008)
103,ap_0045931,810,True,False,False,False,1,0.0,439321.62129999977,216493.2871000003,POINT (439321.62129999977 216493.2871000003)
104,ap_0045932,810,True,False,False,False,1,0.0,439280.6763000004,216485.4606999997,POINT (439280.6763000004 216485.4606999997)
105,ap_0045933,810,True,False,False,False,1,0.0,439279.4752000002,216485.25870000012,POINT (439279.4752000002 216485.25870000012)
106,ap_0045934,848,True,False,True,True,2,0.3234576734908394,438140.4018000001,219960.61590000056,POINT (438140.4018000001 219960.61590000056)
107,ap_0045935,853,True,False,True,True,2,0.0,438790.0784999998,219179.82870000042,POINT (438790.0784999998 219179.82870000042)
108,ap_0045962,144,True,False,False,False,1,0.0,451936.4096999997,201406.77150000073,POINT (451936.4096999997 201406.77150000073)
109,ap_0045963,144,True,False,False,False,1,0.0,451904.1638000002,201218.49980000034,POINT (451904.1638000002 201218.49980000034)
110,ap_0045964,258,True,False,False,False,1,0.30545511523862534,454683.7951999996,205657.86050000042,POINT (454683.7951999996 205657.86050000042)
111,ap_0045965,294,True,False,False,False,1,0.09628508723309218,454827.1860999996,206037.79930000007,POINT (454827.1860999996 206037.79930000007)
112,ap_0045966,294,True,False,False,False,1,0.14330000057816505,454745.0175000001,205899.14330000058,POINT (454745.0175000001 205899.14330000058)
113,ap_0045967,258,True,False,False,False,1,0.15565479102567917,454599.7709999997,205660.6919999998,POINT (454599.7709999997 205660.6919999998)
114,ap_0045968,284,True,False,False,False,1,0.0,455564.6336000003,205411.36989999935,POINT (455564.6336000003 205411.36989999935)
115,ap_0045969,416,True,False,False,False,1,0.08166929163217676,455302.5957000004,208162.42009999976,POINT (455302.5957000004 208162.42009999976)
116,ap_0045970,416,True,False,False,False,1,0.48776225740222373,455856.42729999963,208008.45790000074,POINT (455856.42729999963 208008.45790000074)
117,ap_0045971,303,True,False,False,False,1,0.1903691148334899,457123.95579999965,205867.26539999992,POINT (457123.95579999965 205867.26539999992)
118,ap_0045972,303,True,False,False,False,1,0.20448282470130139,457128.55009999964,205826.00129999965,POINT (457128.55009999964 205826.00129999965)
119,ap_0045973,303,True,False,False,False,1,0.20508264687828667,457128.9494000003,205823.67559999973,POINT (457128.9494000003 205823.67559999973)
120,ap_0045974,405,True,False,True,True,2,0.0,456511.59279999975,206236.8934000004,POINT (456511.59279999975 206236.8934000004)
121,ap_0045975,280,True,False,False,False,1,0.0,455641.24010000005,204932.6662000008,POINT (455641.24010000005 204932.6662000008)
122,ap_0045976,280,True,False,False,False,1,0.3479999992996454,455640.2133999998,204932.3479999993,POINT (455640.2133999998 204932.3479999993)
123,ap_0045977,303,True,False,False,False,1,0.0,457113.76049999986,205701.1986999996,POINT (457113.76049999986 205701.1986999996)
124,ap_0045978,303,True,False,False,False,1,0.000194028622184377,456961.0228000004,205328.00549999997,POINT (456961.0228000004 205328.00549999997)
125,ap_0045979,280,True,False,False,False,1,0.04198291675378268,456692.70380000025,205241.35789999925,POINT (456692.70380000025 205241.35789999925)
126,ap_0045980,277,True,False,True,True,2,0.05340000055730343,456075.03160000034,205686.05340000056,POINT (456075.03160000034 205686.05340000056)
127,ap_0045981,280,True,False,False,False,1,0.0,456077.3167000003,205685.9263000004,POINT (456077.3167000003 205685.9263000004)
128,ap_0045982,280,True,False,False,False,1,0.0,456116.9824000001,205647.55010000058,POINT (456116.9824000001 205647.55010000058)
129,ap_0045983,280,True,False,False,False,1,0.0,456118.7132000001,205646.64540000074,POINT (456118.7132000001 205646.64540000074)
130,ap_0045984,281,True,False,False,False,1,0.00026832770148224654,456127.15050000045,205656.6984000001,POINT (456127.15050000045 205656.6984000001)
131,ap_0045985,280,True,False,False,False,1,0.0,456119.1497999998,205646.69549999945,POINT (456119.1497999998 205646.69549999945)
132,ap_0045986,280,True,False,False,False,1,0.0,455603.70799999963,204980.9364,POINT (455603.70799999963 204980.9364)
133,ap_0045987,280,True,False,False,False,1,0.0,456387.4556,205337.1537999995,POINT (456387.4556 205337.1537999995)
134,ap_0045988,280,True,False,False,False,1,0.1694999998435378,455855.16949999984,204920.66479999945,POINT (455855.16949999984 204920.66479999945)
